Household ID,Date,Electricity Usage (kWh),Water Usage (Liters),Food Waste (kg),Carbon Footprint (kg CO₂),Location
2016,2023-09-15,18.39,316.7,0.26,17.07,Delhi
8869,2023-11-18,29.16,227.8,1.98,30.2,Bangalore
7439,2023-08-24,8.91,273.3,1.59,11.2,Delhi
8892,2023-06-11,9.66,126.4,1.44,11.57,Kolkata
7863,2023-02-11,28.17,342.1,0.61,26.57,Delhi
8916,2023-10-03,22.64,328.6,0.19,20.76,Delhi
9529,2023-12-19,8.8,169.2,1.96,11.84,Mumbai
1878,2023-03-09,14.84,259.4,0.38,14.12,Kolkata
5887,2023-06-22,6.41,452.4,1.68,9.13,Chennai
5859,2023-11-27,15.82,398.1,0.48,15.2,Kolkata
7331,2023-05-05,24.45,152.1,0.81,23.62,Bangalore
9571,2023-06-19,18.85,445.5,1.42,19.81,Kolkata
9684,2023-02-16,21.19,80.3,1.9,22.87,Mumbai
8208,2023-09-18,13.17,236.3,0.14,12.13,Chennai
6276,2023-08-05,9.03,86.1,0.6,9.33,Kolkata
3062,2023-11-01,5.33,465.9,1.55,7.9,Chennai
1064,2023-05-04,25.53,68.3,0.43,23.84,Mumbai
9006,2023-10-20,20.92,118.1,0.31,19.45,Delhi
3568,2023-06-11,10.73,461.8,0.19,10.04,Bangalore
6463,2023-07-20,15.46,312.0,1.05,16.01,Kolkata
3027,2023-10-02,25.04,407.8,1.56,25.66,Chennai
3695,2023-07-25,18.47,57.4,1.93,20.48,Kolkata
6258,2023-02-09,12.5,238.6,0.61,12.47,Mumbai
6618,2023-09-30,11.68,493.0,0.33,11.17,Delhi
7736,2023-07-07,10.44,310.9,0.86,11.12,Mumbai
1391,2023-12-21,25.59,432.4,0.21,23.45,Chennai
6892,2023-04-03,19.55,483.6,0.73,19.06,Kolkata
4561,2023-02-11,22.73,358.3,1.32,23.1,Chennai
7184,2023-04-17,26.5,197.4,0.42,24.69,Mumbai
4099,2023-11-24,29.67,188.9,1.3,29.3,Kolkata
7278,2023-03-06,11.24,82.1,1.95,14.02,Chennai
9392,2023-12-31,9.52,242.5,1.74,12.05,Kolkata
4104,2023-11-05,16.55,461.9,0.78,16.46,Bangalore
8215,2023-05-15,5.88,265.1,0.9,7.09,Mumbai
3454,2023-01-24,24.79,459.9,0.9,24.11,Mumbai
9996,2023-01-28,27.09,417.7,1.73,27.84,Bangalore
3731,2023-03-03,22.15,492.9,1.99,23.92,Delhi
9154,2023-09-30,11.7,476.5,1.67,13.87,Chennai
6056,2023-08-17,8.08,367.9,1.16,9.59,Delhi
9110,2023-01-20,14.55,442.0,0.28,13.66,Kolkata
4840,2023-01-03,25.83,386.6,1.91,27.07,Chennai
2028,2023-08-06,13.7,366.5,1.73,15.79,Chennai
8385,2023-11-03,5.86,372.0,1.7,8.67,Chennai
1502,2023-05-16,11.86,374.5,0.84,12.35,Bangalore
7910,2023-01-03,29.75,220.7,0.95,28.68,Mumbai
7938,2023-07-12,21.92,240.6,0.33,20.39,Bangalore
5488,2023-03-14,27.52,182.3,1.88,28.53,Bangalore
1206,2023-12-27,24.37,116.7,1.89,25.71,Bangalore
6134,2023-04-28,18.49,256.3,0.58,17.8,Delhi
6977,2023-06-03,8.72,455.0,1.42,10.69,Bangalore
8721,2023-07-28,13.72,343.1,0.49,13.33,Mumbai
8035,2023-02-03,19.59,75.3,0.85,19.33,Chennai
2484,2023-05-17,26.77,415.0,0.67,25.43,Delhi
8858,2023-11-14,11.72,470.9,0.84,12.23,Bangalore
1863,2023-04-30,8.03,423.2,0.69,8.61,Bangalore
3790,2023-04-25,18.97,377.4,0.76,18.59,Chennai
8408,2023-01-13,9.41,117.6,1.6,11.67,Chennai
9755,2023-03-10,20.26,207.0,0.67,19.57,Delhi
6116,2023-11-29,11.59,304.4,1.65,13.73,Mumbai
7019,2023-09-14,10.77,84.6,1.18,12.05,Delhi
2757,2023-03-30,14.98,97.8,1.58,16.64,Chennai
8574,2023-02-16,19.83,470.4,1.85,21.55,Mumbai
7374,2023-09-17,18.63,366.2,0.36,17.49,Bangalore
7892,2023-08-16,11.12,173.8,0.75,11.51,Bangalore
2678,2023-06-29,27.28,197.3,0.21,24.97,Kolkata
4242,2023-01-10,7.75,223.0,0.87,8.72,Chennai
5636,2023-10-11,5.99,83.8,0.55,6.49,Kolkata
2059,2023-05-06,20.07,382.6,1.19,20.44,Delhi
7668,2023-05-14,8.09,129.6,1.59,10.46,Delhi
4157,2023-06-04,17.62,412.3,1.02,17.9,Mumbai
6915,2023-09-05,28.79,430.6,0.73,27.37,Chennai
3693,2023-05-20,22.46,337.3,0.39,20.99,Mumbai
4627,2023-11-14,20.44,396.4,0.15,18.7,Mumbai
6450,2023-06-25,19.37,127.3,1.39,20.21,Delhi
2663,2023-11-19,9.49,309.2,0.16,8.86,Delhi
6592,2023-06-23,15.82,354.6,1.85,17.94,Chennai
8392,2023-03-15,13.56,347.7,1.23,14.66,Delhi
2306,2023-12-17,28.83,102.8,0.77,27.49,Chennai
7776,2023-05-23,11.06,205.0,0.18,10.31,Kolkata
6864,2023-10-19,16.79,196.3,0.89,16.89,Bangalore
8526,2023-04-22,28.45,307.6,1.75,29.1,Kolkata
9901,2023-07-25,24.73,394.4,1.94,26.14,Delhi
6575,2023-05-11,29.11,306.8,0.26,26.72,Bangalore
6530,2023-04-20,20.21,389.7,1.58,21.35,Bangalore
5413,2023-03-08,13.34,94.5,0.59,13.19,Mumbai
4748,2023-03-27,25.67,445.2,0.82,24.74,Bangalore
1663,2023-10-02,12.29,291.5,1.14,13.34,Chennai
2998,2023-08-15,9.12,66.9,1.99,12.19,Delhi
8994,2023-11-21,22.66,339.4,0.5,21.39,Delhi
2495,2023-01-10,20.97,282.8,0.35,19.57,Mumbai
4304,2023-12-21,26.97,149.2,1.23,26.73,Mumbai
4763,2023-10-15,29.05,394.0,1.72,29.58,Delhi
6232,2023-04-22,26.43,470.1,1.33,26.45,Mumbai
2853,2023-01-24,6.5,195.2,0.76,7.37,Bangalore
7585,2023-10-18,21.61,272.3,1.96,23.37,Bangalore
2291,2023-12-05,24.62,107.7,1.99,26.14,Chennai
4581,2023-11-22,29.55,468.4,1.56,29.72,Mumbai
8554,2023-06-17,14.37,193.5,1.62,16.17,Delhi
8280,2023-04-19,9.25,137.7,1.55,11.42,Kolkata
2636,2023-07-09,26.32,265.3,0.59,24.87,Delhi
4696,2023-12-21,12.94,69.5,0.39,12.43,Kolkata
1698,2023-07-15,19.96,163.8,1.15,20.26,Kolkata
5737,2023-02-02,14.75,80.4,1.91,17.1,Chennai
1854,2023-07-24,15.06,107.3,1.77,17.09,Kolkata
9164,2023-11-08,23.31,100.5,0.3,21.58,Bangalore
6855,2023-07-01,14.04,442.6,0.21,13.06,Bangalore
8392,2023-05-27,22.33,468.7,1.76,23.62,Chennai
7528,2023-09-25,5.36,263.5,1.26,7.34,Delhi
6249,2023-01-11,13.12,333.7,0.68,13.17,Delhi
6172,2023-03-11,12.98,363.2,1.17,14.02,Delhi
2707,2023-09-13,23.72,226.1,0.52,22.39,Delhi
6791,2023-08-07,12.86,216.6,1.9,15.37,Bangalore
6535,2023-10-24,20.83,354.0,1.67,22.09,Bangalore
5931,2023-12-28,22.21,219.5,1.93,23.85,Chennai
4510,2023-09-16,21.46,311.5,0.46,20.23,Chennai
1202,2023-01-03,20.08,281.8,1.7,21.47,Chennai
5218,2023-03-25,15.34,286.0,1.16,16.13,Delhi
9958,2023-06-05,14.33,423.2,0.72,14.34,Delhi
5389,2023-05-31,19.11,366.8,1.01,19.22,Bangalore
3327,2023-06-25,6.59,482.3,1.89,9.71,Bangalore
9004,2023-07-14,26.9,405.9,1.41,27.03,Mumbai
3931,2023-04-17,25.63,115.6,0.78,24.63,Mumbai
8777,2023-05-14,13.66,382.3,2.0,16.29,Delhi
1197,2023-10-03,19.17,349.5,0.76,18.77,Bangalore
8125,2023-12-18,28.31,340.7,1.65,28.78,Delhi
2930,2023-06-04,11.79,266.3,1.59,13.79,Kolkata
7287,2023-10-04,23.56,78.1,1.47,24.14,Mumbai
9800,2023-08-24,7.07,478.2,1.37,9.1,Chennai
5282,2023-08-28,18.08,433.4,0.31,16.89,Delhi
3511,2023-01-13,27.1,269.1,1.99,28.37,Kolkata
1659,2023-12-08,18.79,121.4,0.41,17.73,Chennai
3811,2023-02-04,20.41,421.0,1.23,20.83,Kolkata
8098,2023-02-16,27.69,243.8,0.57,26.06,Bangalore
7546,2023-08-02,22.88,225.6,0.42,21.43,Bangalore
2986,2023-05-26,22.4,349.4,1.16,22.48,Bangalore
9338,2023-06-08,19.66,391.4,1.69,21.07,Chennai
3911,2023-05-05,20.82,78.3,0.82,20.38,Chennai
2734,2023-04-20,25.09,395.4,0.25,23.08,Bangalore
2843,2023-02-06,29.48,380.3,1.29,29.11,Chennai
9680,2023-10-04,24.88,315.1,1.56,25.51,Bangalore
3976,2023-01-14,22.69,202.3,0.66,21.74,Delhi
2959,2023-12-13,8.39,124.2,1.41,10.37,Bangalore
6759,2023-08-20,25.43,96.2,0.24,23.37,Mumbai
7694,2023-11-12,23.4,50.5,0.79,22.64,Delhi
3385,2023-05-04,24.26,142.9,1.0,23.83,Bangalore
5736,2023-10-06,10.78,235.1,1.59,12.88,Mumbai
2802,2023-04-21,27.59,159.6,0.74,26.31,Bangalore
9155,2023-05-04,7.43,189.0,0.96,8.61,Delhi
9120,2023-01-30,11.34,225.7,1.29,12.79,Bangalore
7616,2023-04-25,21.58,188.7,1.29,22.0,Chennai
6534,2023-03-31,21.84,376.1,1.08,21.82,Bangalore
5061,2023-07-31,12.83,271.3,0.72,12.99,Delhi
1262,2023-02-07,22.54,58.7,1.37,23.03,Kolkata
7287,2023-03-24,14.7,152.0,1.69,16.61,Bangalore
9815,2023-01-27,5.0,369.3,0.39,5.28,Chennai
3049,2023-08-05,9.07,185.4,0.75,9.66,Delhi
6423,2023-12-26,27.07,464.1,1.37,27.1,Mumbai
5548,2023-08-03,10.57,370.7,1.54,12.59,Kolkata
4108,2023-08-09,7.82,180.5,1.58,10.2,Bangalore
8158,2023-01-15,22.06,282.4,1.34,22.53,Delhi
8400,2023-09-16,16.02,350.3,1.01,16.44,Chennai
4170,2023-09-23,24.91,137.0,1.33,25.08,Chennai
3255,2023-04-30,26.54,160.8,0.36,24.61,Delhi
2154,2023-05-08,26.15,278.2,0.49,24.52,Chennai
5499,2023-07-30,12.83,466.2,1.86,15.27,Kolkata
7295,2023-01-11,17.64,204.8,1.85,19.58,Mumbai
7197,2023-06-25,21.25,231.0,1.48,22.08,Chennai
2648,2023-05-13,13.05,135.8,0.72,13.18,Chennai
6539,2023-11-21,6.03,316.9,1.33,8.09,Mumbai
5199,2023-11-16,17.39,383.1,1.41,18.47,Kolkata
9445,2023-01-14,5.32,248.3,1.08,6.95,Kolkata
3557,2023-02-19,28.77,387.6,1.52,28.93,Kolkata
6592,2023-03-13,24.92,186.2,0.16,22.75,Chennai
1098,2023-03-10,9.8,368.1,0.59,10.0,Chennai
3200,2023-01-16,12.19,166.3,1.61,14.19,Kolkata
3961,2023-11-30,29.57,401.3,1.88,30.37,Chennai
5973,2023-12-23,14.34,423.8,1.76,16.43,Bangalore
5433,2023-02-25,24.59,409.0,1.46,25.05,Chennai
3869,2023-04-15,16.17,147.0,0.41,15.37,Kolkata
1956,2023-05-12,26.6,362.4,0.8,25.54,Delhi
9352,2023-02-17,22.59,292.3,0.2,20.73,Kolkata
6699,2023-09-05,5.57,493.7,1.32,7.65,Delhi
7944,2023-09-30,12.36,212.7,0.95,13.02,Chennai
5493,2023-04-21,18.95,397.1,1.19,19.43,Chennai
5911,2023-11-22,28.15,216.5,1.96,29.26,Delhi
4987,2023-12-02,7.55,228.6,0.86,8.52,Kolkata
7015,2023-12-15,20.03,99.9,0.68,19.39,Mumbai
2218,2023-02-07,12.55,157.8,0.39,12.08,Mumbai
5496,2023-12-23,27.23,124.0,0.37,25.25,Kolkata
5735,2023-08-28,24.13,121.6,1.09,23.9,Chennai
5555,2023-11-14,14.24,54.1,1.52,15.86,Delhi
9050,2023-05-01,9.18,407.2,1.17,10.6,Delhi
4446,2023-02-17,5.29,260.6,1.76,8.28,Kolkata
2045,2023-01-10,20.53,411.9,0.7,19.88,Kolkata
7893,2023-08-21,15.15,325.6,1.23,16.1,Bangalore
2693,2023-02-05,12.87,424.1,1.36,14.3,Delhi
4436,2023-01-04,29.64,276.7,0.63,27.94,Bangalore
9754,2023-02-13,16.65,92.3,0.85,16.68,Chennai
6895,2023-02-25,23.75,327.5,1.22,23.82,Delhi
4354,2023-02-11,9.44,355.0,0.14,8.78,Kolkata
1225,2023-09-12,5.34,331.9,1.78,8.37,Kolkata
5893,2023-08-16,15.44,410.6,0.31,14.52,Chennai
8022,2023-04-24,21.64,379.2,0.19,19.86,Mumbai
6600,2023-08-25,17.66,244.7,0.51,16.91,Bangalore
8996,2023-06-23,27.26,418.6,1.05,26.63,Kolkata
8683,2023-09-12,15.85,361.3,0.72,15.7,Delhi
5642,2023-10-04,12.78,104.2,0.94,13.38,Delhi
8679,2023-12-01,27.9,292.9,0.26,25.63,Delhi
9208,2023-03-10,15.17,377.9,0.54,14.73,Chennai
8339,2023-11-22,11.74,299.0,0.29,11.15,Mumbai
3205,2023-08-18,7.44,477.1,0.54,7.78,Bangalore
2069,2023-03-08,24.83,95.7,1.44,25.23,Delhi
4444,2023-10-31,25.63,375.0,1.19,25.45,Delhi
2060,2023-02-05,5.83,421.0,0.73,6.71,Kolkata
3327,2023-06-08,13.97,366.2,0.6,13.77,Mumbai
4420,2023-05-29,23.75,223.5,2.0,25.38,Kolkata
1301,2023-01-27,28.66,223.5,1.56,28.91,Chennai
1606,2023-03-13,14.45,314.0,1.66,16.32,Chennai
4170,2023-09-05,26.8,228.7,0.15,24.42,Bangalore
1699,2023-04-11,14.84,447.4,0.21,13.78,Chennai
6088,2023-07-09,9.49,99.5,1.45,11.44,Bangalore
1190,2023-04-06,5.09,337.6,0.46,5.5,Kolkata
1980,2023-10-09,13.25,110.4,0.91,13.74,Delhi
3975,2023-11-18,14.46,293.1,0.45,13.91,Delhi
7102,2023-10-05,28.63,372.0,0.44,26.65,Mumbai
2184,2023-01-17,10.15,124.5,0.31,9.75,Chennai
4327,2023-09-20,14.56,366.8,1.23,15.56,Mumbai
4394,2023-04-17,5.63,113.0,1.5,8.07,Mumbai
9319,2023-03-09,24.09,329.2,0.21,22.1,Delhi
2816,2023-05-08,27.88,277.5,0.62,26.33,Chennai
6854,2023-10-20,10.95,184.1,1.35,12.56,Delhi
7709,2023-10-21,15.72,100.2,0.85,15.85,Mumbai
1569,2023-04-06,8.05,381.1,1.44,10.12,Chennai
6442,2023-01-01,16.42,221.8,1.54,17.86,Delhi
2895,2023-10-25,8.33,88.9,0.16,7.82,Bangalore
3733,2023-06-29,18.08,397.8,0.82,17.91,Bangalore
4863,2023-06-30,23.37,154.8,1.49,24.01,Kolkata
8455,2023-08-23,18.83,381.4,0.82,18.59,Kolkata
5014,2023-11-15,11.13,304.2,0.11,10.24,Chennai
2686,2023-12-03,13.84,137.5,0.74,13.94,Kolkata
4009,2023-01-08,20.96,84.4,1.76,22.38,Chennai
8806,2023-01-27,19.74,317.0,1.91,21.59,Mumbai
1154,2023-11-04,8.42,61.3,1.16,9.9,Bangalore
2409,2023-05-26,26.12,79.5,0.68,24.87,Chennai
1784,2023-04-01,16.88,366.0,0.99,17.17,Mumbai
9096,2023-12-08,9.06,292.5,0.55,9.25,Bangalore
8560,2023-09-29,8.07,196.8,0.42,8.1,Delhi
8343,2023-11-18,29.14,292.7,1.04,28.31,Mumbai
8206,2023-01-05,12.04,316.2,1.5,13.84,Delhi
6596,2023-03-23,27.71,304.4,0.52,25.98,Kolkata
6801,2023-08-07,15.26,339.1,1.83,17.39,Chennai
3806,2023-04-28,14.65,473.1,0.42,14.02,Bangalore
1537,2023-03-22,22.52,224.9,1.16,22.59,Kolkata
6986,2023-03-11,5.25,185.5,1.58,7.89,Mumbai
2841,2023-04-25,13.45,67.3,0.51,13.12,Kolkata
9716,2023-09-20,12.57,116.2,0.66,12.63,Delhi
7971,2023-11-02,26.7,97.8,0.2,24.43,Delhi
6625,2023-05-22,18.23,200.9,1.89,20.19,Chennai
3950,2023-07-26,14.11,324.5,1.03,14.76,Kolkata
8992,2023-04-21,11.65,70.9,0.22,10.92,Bangalore
5780,2023-10-30,19.76,377.4,1.68,21.14,Delhi
3368,2023-04-22,8.79,228.8,1.18,10.27,Mumbai
7655,2023-02-12,11.16,483.6,0.21,10.46,Kolkata
9173,2023-12-13,12.34,305.8,0.96,13.03,Bangalore
5495,2023-10-12,20.2,397.1,0.93,20.04,Bangalore
7002,2023-05-08,14.33,437.5,0.38,13.66,Bangalore
7614,2023-07-04,17.64,450.0,0.9,17.68,Bangalore
6919,2023-08-17,21.26,283.3,0.64,20.41,Delhi
1853,2023-08-09,28.91,228.5,1.43,28.88,Chennai
5146,2023-12-18,24.12,302.2,0.11,21.93,Kolkata
4769,2023-04-27,15.13,230.9,0.3,14.22,Delhi
1574,2023-03-11,23.71,158.3,1.85,25.04,Chennai
2148,2023-03-11,28.74,195.8,0.92,27.71,Bangalore
7293,2023-04-20,17.48,154.7,0.43,16.59,Mumbai
7457,2023-05-12,15.26,171.2,1.61,16.95,Bangalore
8509,2023-02-25,6.95,92.1,1.72,9.7,Chennai
5777,2023-03-30,27.31,241.9,0.5,25.58,Chennai
4854,2023-05-17,11.16,155.9,1.46,12.96,Mumbai
3491,2023-05-11,6.6,251.8,1.27,8.48,Delhi
4124,2023-08-06,18.43,406.5,1.52,19.63,Mumbai
6691,2023-06-25,26.15,251.7,1.6,26.74,Bangalore
4051,2023-06-20,15.17,479.6,1.36,16.37,Kolkata
1004,2023-04-10,24.58,116.5,1.92,25.96,Delhi
6222,2023-05-09,25.91,432.6,1.74,26.8,Kolkata
6315,2023-02-26,16.36,161.7,0.54,15.8,Kolkata
5869,2023-06-30,19.77,470.3,1.84,21.47,Delhi
1876,2023-09-03,18.35,152.2,0.78,18.08,Bangalore
8027,2023-05-24,28.48,386.1,1.48,28.59,Chennai
5142,2023-02-20,23.14,78.0,1.71,24.25,Bangalore
7966,2023-08-06,28.13,333.4,0.93,27.18,Chennai
8079,2023-04-14,10.5,148.4,0.2,9.85,Chennai
8987,2023-02-24,12.76,351.6,1.9,15.28,Delhi
7799,2023-09-14,6.77,336.1,0.24,6.57,Delhi
5465,2023-12-12,17.5,465.7,0.76,17.27,Mumbai
1635,2023-06-05,26.85,332.0,1.23,26.63,Kolkata
2693,2023-02-22,13.17,233.7,0.32,12.49,Kolkata
5752,2023-11-25,8.21,137.1,1.69,10.77,Kolkata
9311,2023-07-06,6.71,345.9,0.49,7.02,Kolkata
1830,2023-12-30,16.19,102.4,1.97,18.51,Mumbai
6177,2023-05-30,9.1,422.8,1.84,11.87,Chennai
9932,2023-09-21,13.65,161.3,1.25,14.78,Mumbai
9308,2023-09-07,25.5,285.9,1.35,25.65,Delhi
6949,2023-10-25,14.6,318.2,1.11,15.36,Bangalore
3838,2023-07-30,20.25,213.1,0.84,19.9,Chennai
2150,2023-01-25,17.55,348.7,0.77,17.34,Chennai
8560,2023-10-21,22.96,162.6,1.79,24.24,Mumbai
2931,2023-12-07,8.9,65.6,1.2,10.41,Delhi
2664,2023-06-01,28.01,481.7,1.66,28.53,Delhi
2081,2023-01-24,21.09,194.0,1.08,21.14,Chennai
1512,2023-09-09,11.77,371.1,0.68,11.95,Mumbai
8805,2023-03-01,8.08,278.4,0.27,7.81,Kolkata
6237,2023-03-07,8.74,351.0,0.72,9.31,Chennai
1559,2023-02-22,24.57,99.9,1.77,25.65,Kolkata
4672,2023-04-16,19.7,283.5,1.45,20.63,Bangalore
8404,2023-04-06,14.52,226.5,1.59,16.25,Delhi
4343,2023-06-25,13.32,253.3,1.57,15.13,Chennai
5070,2023-02-08,26.39,484.8,0.33,24.41,Bangalore
1580,2023-06-17,26.87,111.3,0.4,24.98,Kolkata
8004,2023-02-11,19.53,389.6,0.7,18.98,Chennai
9130,2023-04-14,18.11,198.7,0.67,17.64,Bangalore
4147,2023-11-29,25.41,180.7,0.23,23.33,Chennai
5249,2023-07-23,23.73,171.8,0.39,22.14,Bangalore
2679,2023-01-08,15.01,207.0,1.73,16.97,Bangalore
4506,2023-10-09,7.07,210.7,1.22,8.8,Kolkata
8253,2023-02-12,24.21,171.8,0.75,23.29,Delhi
3744,2023-04-20,9.22,350.4,1.1,10.5,Mumbai
6188,2023-07-29,5.41,71.5,0.6,6.07,Bangalore
3141,2023-08-25,26.08,199.5,1.21,25.89,Delhi
7617,2023-12-22,19.46,176.1,0.24,17.99,Mumbai
3479,2023-11-15,27.29,388.1,1.82,28.2,Kolkata
7484,2023-02-18,17.11,115.9,0.56,16.52,Chennai
8421,2023-04-25,28.16,473.3,1.66,28.66,Delhi
5452,2023-06-04,13.85,126.7,1.35,15.16,Chennai
6881,2023-05-17,23.11,216.5,1.09,22.98,Chennai
7665,2023-06-16,12.52,139.9,1.87,15.01,Mumbai
3849,2023-11-17,5.03,179.0,0.4,5.33,Delhi
8390,2023-07-18,14.49,392.5,0.33,13.7,Bangalore
7905,2023-03-12,23.44,264.4,0.71,22.52,Mumbai
3489,2023-01-07,8.75,123.2,1.68,11.24,Delhi
5611,2023-07-19,17.62,71.0,0.17,16.2,Bangalore
3839,2023-12-02,10.31,153.5,0.55,10.38,Chennai
9527,2023-03-08,6.87,475.5,0.91,8.0,Kolkata
6878,2023-05-18,20.44,430.4,1.45,21.3,Kolkata
7303,2023-08-30,28.8,248.1,0.67,27.26,Mumbai
1851,2023-08-01,12.77,266.9,0.95,13.39,Bangalore
2687,2023-06-30,19.52,454.7,0.74,19.05,Bangalore
7833,2023-09-11,28.84,316.1,0.27,26.5,Kolkata
3427,2023-04-11,21.26,446.3,1.5,22.13,Bangalore
5000,2023-12-17,21.83,271.3,0.98,21.61,Delhi
6052,2023-03-28,9.47,140.0,1.64,11.8,Delhi
3738,2023-07-04,17.32,376.7,1.42,18.43,Kolkata
6732,2023-04-01,14.18,286.9,0.21,13.18,Chennai
6387,2023-09-05,16.77,350.8,1.05,17.19,Chennai
9002,2023-08-02,25.02,120.8,1.98,26.48,Chennai
6536,2023-12-25,16.52,341.4,0.68,16.23,Kolkata
4913,2023-09-06,6.57,222.0,1.04,7.99,Mumbai
2066,2023-05-06,27.64,199.4,1.34,27.56,Bangalore
8723,2023-01-04,18.62,352.2,0.48,17.72,Delhi
5380,2023-03-29,28.11,316.5,1.43,28.16,Delhi
5107,2023-05-31,19.31,342.1,1.35,20.08,Mumbai
6726,2023-06-25,6.74,484.4,0.81,7.69,Bangalore
4373,2023-07-30,18.82,365.5,0.64,18.22,Chennai
9945,2023-09-16,19.39,338.4,1.85,21.15,Delhi
3082,2023-04-01,10.36,326.1,0.34,10.0,Chennai
9967,2023-09-16,16.78,229.4,0.92,16.94,Chennai
7748,2023-07-10,16.49,427.6,1.56,17.96,Kolkata
1417,2023-03-22,20.57,221.4,0.38,19.27,Kolkata
9306,2023-05-18,11.49,365.1,1.87,14.08,Bangalore
9808,2023-12-16,19.54,181.9,1.1,19.79,Delhi
4974,2023-05-06,11.02,116.5,1.06,12.04,Kolkata
4267,2023-12-22,16.16,108.4,0.91,16.36,Bangalore
1825,2023-11-05,8.07,335.6,1.75,10.76,Mumbai
8668,2023-12-09,5.93,197.6,1.9,9.14,Chennai
6745,2023-08-18,13.01,173.8,0.82,13.35,Delhi
1412,2023-12-11,11.86,316.4,1.13,12.93,Delhi
8543,2023-11-06,15.17,61.6,0.7,15.05,Bangalore
8587,2023-01-20,29.05,160.8,0.8,27.74,Kolkata
1728,2023-02-18,18.06,203.2,0.15,16.55,Chennai
